"path";"n_paragraphs";"selected_paragraph";"paragraph_classification";"first)words";"last_words";"note"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_borgare_III/prot_1872_borgare_III-0761";"6";"2.0";"note";"Ståndet till kännedom";"till deras begagnande.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_praster_II/prot_1872_praster_II-0371";"3";"1.0";"speech-summary";"för allmogen att";"fördenskull utskottets betänkande.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_praster_III/prot_1872_praster_III-0249";"8";"4.0";"note";"De delar af";"i stället för ""köftesskrifter"".";"signature - counted as one paragraph"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_praster_III/prot_1872_praster_III-0424";"2";"1.0";"seg";"En annan synnerligen i";"är ögonskenligt att kronosko-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/ptk_1872_talonpojat_I/ptk_1872_talonpojat_I-0164";"7";"1.0";"note";"Esiteltiin pyyntö-esitys";"kuului näin:";"very difficult - signatures"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/ptk_1872_talonpojat_II/ptk_1872_talonpojat_II-0356";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/ptk_1872_talonpojat_II/ptk_1872_talonpojat_II-0373";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_borgare_IV/prot_1877-1878_borgare_IV-0232";"1";"1.0";"seg";"mindre städer. Sedan";"Besvärsutskottets resonemang beträffande";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_borgare_V/prot_1877-1878_borgare_V-0126";"6";"4.0";"note";"Detta betänkande";"nästa plenum.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_borgare_V/prot_1877-1878_borgare_V-0554";"7";"6.0";"seg";"Då uti";"bör utgå.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_praster_II/prot_1877-1878_praster_II-0289";"2";"2.0";"seg";"Jag ber att";"blifvit af ett";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_praster_V/prot_1877-1878_praster_V-0249";"4";"3.0";"seg";"Jag är af";"utskottsbetänkandets antagande.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/prot_1877-1878_praster_V/prot_1877-1878_praster_V-0265";"9";"4.0";"seg";"Jag tror";"i näringslagen.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/ptk_1877-1878_talonpojat_I/ptk_1877-1878_talonpojat_I-0694";"8";"7.0";"note";"Puhemies ilmoitti edusmies";"johon suostuttiin.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/ptk_1877-1878_talonpojat_II/ptk_1877-1878_talonpojat_II-0117";"2";"2.0";"seg";"Minä luulen, että";"sinne käsin,";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877-1878/ptk_1877-1878_talonpojat_III/ptk_1877-1878_talonpojat_III-0113";"4";"4.0";"speech-summary";"Edusmies Brusila huomautti,";"myös myönnettävä. Herra";"not-stenog!"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877/prot_1877_adeln_II/prot_1877_adeln_II-0190";"3";"1.0";"seg";"Jag är";"nådiga propositionen.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877/prot_1877_adeln_IV/prot_1877_adeln_IV-0474";"3";"2.0";"seg";"Orsaken, hvarföre";"herr Antell.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1877/prot_1877_adeln_VI/prot_1877_adeln_VI-0385";"10";"2.0";"seg";"Då jag först";"utskotts afgörande.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_adeln_I/prot_1882_adeln_I-0411";"12";"5.0";"note";"§ 2";"utan diskussion;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_adeln_III/prot_1882_adeln_III-0122";"4";"3.0";"seg";"Det har redan";"ansenligen stigit.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_adeln_III/prot_1882_adeln_III-0260";"2";"1.0";"seg";"märkningar, men";"måtte densamme antaga.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_borgare_II/prot_1882_borgare_II-0273";"10";"10.0";"note";"1:o Sammansatta";"och gästgifverierna;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_borgare_III/prot_1882_borgare_III-0386";"4";"4.0";"seg";"Jag måste på";"i och för";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_borgare_III/prot_1882_borgare_III-0512";"8";"2.0";"note";"a) Delegationen, som";"antagna betjeningen;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_praster_II/prot_1882_praster_II-0514";"2";"2.0";"seg";"Mainituista syistä minä";"toisen tai toisen";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_praster_II/prot_1882_praster_II-0541";"3";"2.0";"note";"Plenum afslöts";"minuter midnatt.";"signature - counted as one paragraph"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/prot_1882_praster_III/prot_1882_praster_III-0461";"4";"4.0";"seg";"Äfven jag anser i";"sådant förslag till";"both Finnish and Swedish- stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/ptk_1882_talonpojat_I/ptk_1882_talonpojat_I-0141";"6";"2.0";"note";"Näihin nojaten";"pyyntöesitykselle siitä:";"signature - counted as one paragraph- both steno and non-steno"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/ptk_1882_talonpojat_II/ptk_1882_talonpojat_II-0211";"11";"11.0";"note";"Päätökseen ilmoitti";"edusmies Brusila.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1882/ptk_1882_talonpojat_II/ptk_1882_talonpojat_II-0572";"5";"3.0";"note";"Luettiin valtiovaliokunnalta";"kuuluva kirjoitus:";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_adeln_I/prot_1885_adeln_I-0354";"2";"1.0";"seg";"komme att";"sitt yrkande.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_adeln_I/prot_1885_adeln_I-0404";"1";"1.0";"seg";"exempelvis framhålla";"formen deciliter i";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_adeln_III/prot_1885_adeln_III-0386";"3";"3.0";"seg";"Det har";"nyttiga odlingsföretag.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_borgare_II/prot_1885_borgare_II-0144";"10";"10.0";"note";"att stådent vid";"skulle erhålla samma";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_borgare_II/prot_1885_borgare_II-0293";"15";"2.0";"note";"Sedan diskussionen";"oförändradt godkändt.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_borgare_III/prot_1885_borgare_III-0472";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_papisto_I/prot_1885_papisto_I-0559";"2";"2.0";"seg";"Det var";"sätt lifnära";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_papisto_II/prot_1885_papisto_II-0413";"5";"3.0";"seg";"Koska Pappissääty jo";"luetellut henkilöt.";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/prot_1885_papisto_II/prot_1885_papisto_II-0604";"3";"2.0";"seg";"Jag bör med";"dem i förväg.";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/ptk_1885_talonpojat_II/ptk_1885_talonpojat_II-0190";"11";"8.0";"note";"Esitettiin Yleisen";"maanantain istuntoon.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/ptk_1885_talonpojat_II/ptk_1885_talonpojat_II-0390";"1";"1.0";"seg";"tiollinen rauha";"kanssaan yhtyneitten vasta-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1885/ptk_1885_talonpojat_IV/ptk_1885_talonpojat_IV-0246";"11";"2.0";"note";"Valtiovaliokunnalta.";"";"difficult with several signatures"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_adeln_I/prot_1888_adeln_I-0436";"6";"6.0";"note";"Ekonomiutskottets förslag";"och spritdrycker,";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_adeln_III/prot_1888_adeln_III-0021";"3";"2.0";"seg";"Äfven jag kan";"härförinnan egt rum.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_adeln_III/prot_1888_adeln_III-0677";"8";"2.0";"note";"Föredrogos och";"ingångna protokollsutdrag.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_borgare_I/prot_1888_borgare_I-0247";"9";"8.0";"note";"Till vällofliga";"Borgareståndet!";"difficult with signatures"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_borgare_II/prot_1888_borgare_II-0430";"2";"1.0";"seg";"dödsstraffets hufvudsakliga";"barbari och hexbål.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/prot_1888_borgare_II/prot_1888_borgare_II-0730";"3";"3.0";"seg";"Jag ville fästa";"utom saken och";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_papisto_I/ptk_1888_papisto_I-0429";"3";"1.0";"seg";"tökseen. Nähdäänkin";"huomioon ottamatta.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_papisto_I/ptk_1888_papisto_I-0701";"3";"1.0";"seg";"lisena panna";"sen vaihtelevia mielipiteitä.";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_papisto_II/ptk_1888_papisto_II-0204";"3";"3.0";"seg";"Minua ilahuttaa suuresti,";"korkeampaan oikeuteen ve-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_talonpojat_II/ptk_1888_talonpojat_II-0133";"2";"1.0";"seg";"af pålagda skattören";"deri gjort.";"both Finnish and Swedish - stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_talonpojat_III/ptk_1888_talonpojat_III-0086";"3";"3.0";"seg";"Tahtoisin vaan";"Tämä § olisi";"both Finnish and Swedish - stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1888/ptk_1888_talonpojat_III/ptk_1888_talonpojat_III-0332";"5";"3.0";"seg";"Kun ei puutu";"Castrénin vastalausetta.";"both Finnish and Swedish - stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_adeln_I/prot_1891_adeln_I-0216";"12";"8.0";"note";"2) med ledning";"blifvit verkstälda;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_adeln_I/prot_1891_adeln_I-0393";"3";"1.0";"seg";"tyckligt skiljas.";"tjenstevilkoren beröras.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_adeln_III/prot_1891_adeln_III-0201";"5";"4.0";"seg";"Jag är en";"afgifna reservationen.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_borgare_I/prot_1891_borgare_I-0388";"2";"2.0";"note";"Då ingen annan";"sistnämda utskott.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_borgare_II/prot_1891_borgare_II-0324";"2";"1.0";"seg";"säkerhet för";"hela förslaget.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/prot_1891_borgare_II/prot_1891_borgare_II-0388";"2";"1.0";"seg";"Jag erkänner";"rör löneförmånerna.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_papisto_I/ptk_1891_papisto_I-0013";"2";"2.0";"seg";"Högädle hr";"kraftigare denna kän-";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_papisto_I/ptk_1891_papisto_I-0598";"8";"4.0";"note";"Samalta valiokunnalta";"mihinkään toimenpiteesen;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_papisto_I/ptk_1891_papisto_I-0622";"2";"1.0";"seg";"den 30 maj";"till alla delar.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_talonpojat_I/ptk_1891_talonpojat_I-0410";"7";"3.0";"seg";"3:ksi olisi tarpeen";"määrässä vähentyisivät.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_talonpojat_II/ptk_1891_talonpojat_II-0131";"9";"1.0";"seg";"ole kysymyksessä";"perinnöksi lunastamiseen.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1891/ptk_1891_talonpojat_III/ptk_1891_talonpojat_III-0056";"10";"10.0";"seg";"Katson velvollisuudekseni";"tulee kipeään tarpeesen.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_adeln_I/prot_1894_adeln_I-0431";"5";"4.0";"note";"Hypoteksföreningens";"lån";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_adeln_II/prot_1894_adeln_II-0033";"9";"5.0";"note";"Den, som godkänner";"röstar ja;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_adeln_II/prot_1894_adeln_II-0437";"13";"9.0";"note";"till";"suppleanter:";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_borgare_II/prot_1894_borgare_II-0343";"7";"1.0";"seg";"ole kuitenkaan";"osaa säätykokouksiin.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_borgare_II/prot_1894_borgare_II-0677";"2";"1.0";"seg";"radat he tahtovat";"rannikkoradan rakentamista.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/prot_1894_borgare_II/prot_1894_borgare_II-0724";"3";"3.0";"seg";"Skulle jag hafva";"faktor vid be-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_papisto_I/ptk_1894_papisto_I-0268";"2";"1.0";"seg";"matkarahaa niin";"ammattitaidon kehittämistä.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_papisto_I/ptk_1894_papisto_I-0359";"2";"2.0";"seg";"Minuakaan eivät";"vuosirahamäärästä ja sen";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_papisto_II/ptk_1894_papisto_II-0717";"13";"1.0";"note";"että sittenkun";"sittemmin sisäänjätetään;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_talonpojat_I/ptk_1894_talonpojat_I-0400";"4";"1.0";"seg";"pohjoismaissakin pidettävä.";"saada muutoksia aikaan.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_talonpojat_I/ptk_1894_talonpojat_I-0445";"9";"8.0";"note";"Nykinen eduskuntalaitoksemme";"Suomen kansaa"".";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1894/ptk_1894_talonpojat_III/ptk_1894_talonpojat_III-0402";"5";"4.0";"seg";"""Äsken levisi";"mielessä rauhattomuuttakin.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_adeln_III/prot_1897_adeln_III-0070";"5";"2.0";"note";"R. o. A.";"betänkande oförändrad.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_adeln_III/prot_1897_adeln_III-0740";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_adeln_III/prot_1897_adeln_III-0777";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_borgare_II/prot_1897_borgare_II-0347";"2";"2.0";"seg";"Jag tror att";"att det vore";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_borgare_II/prot_1897_borgare_II-0828";"12";"9.0";"note";"De, hvilka";"rösta nej;";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/prot_1897_borgare_II/prot_1897_borgare_II-0927";"6";"2.0";"note";"Till vällöfliga";"Borgareståndet.";"difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_papisto_II/ptk_1897_papisto_II-0171";"7";"6.0";"note";"""Ken hyväksyy";"ehdottamaansa suuntaan.""";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_papisto_II/ptk_1897_papisto_II-0589";"2";"2.0";"seg";"Minä pyysin puheenvuoroa";"Käsillä olevan lakiehdotuksen. (Hyvä!).";"interjection!"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_papisto_III/ptk_1897_papisto_III-0396";"2";"2.0";"seg";"Jag ber att";"röst hörd.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_talonpojat_II/ptk_1897_talonpojat_II-0232";"3";"2.0";"seg";"Pettynein tunein olen";"tukea itse anomukselle.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_talonpojat_II/ptk_1897_talonpojat_II-0909";"6";"6.0";"seg";"Pyydän ainoastaan";"olen asiata aja-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1897/ptk_1897_talonpojat_III/ptk_1897_talonpojat_III-0008";"6";"6.0";"note";"Valppaasti terottaen";"voipi pois";"difficult; proposal not speech"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_adeln_/prot_1899_adeln_-0102";"2";"1.0";"seg";"Suomalaisilla sotajoukoilla on";"heidän toivomuksilleen vastaan.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_adeln_/prot_1899_adeln_-0149";"10";"8.0";"note";"Beträffande";"yttrade";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_adeln_/prot_1899_adeln_-0221";"";"";"";"";"";"REGISTER"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_borgare_/prot_1899_borgare_-0019";"6";"2.0";"seg";"Jag ber att";"och förtroende.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_borgare_/prot_1899_borgare_-0047";"7";"7.0";"note";"Stådent biföll till";"till justeringsutskottet.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/prot_1899_borgare_/prot_1899_borgare_-0052";"2";"2.0";"seg";"För min ringa";"åsyfta att för-";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_papisto_/ptk_1899_papisto_-0042";"10";"1.0";"note";"stendömet gemensamma lagarnas";"Hans Kejserliga Majestät.";"difficult; report / letter"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_papisto_/ptk_1899_papisto_-0191";"8";"4.0";"note";"Sen jälkeen julkiluki";"pitävä valtaistuinsalissa:";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_papisto_/ptk_1899_papisto_-0199";"5";"3.0";"seg";"Tacksamt för det";"vänskap och bevågenhet.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_talonpojat_/ptk_1899_talonpojat_-0051";"11";"7.0";"note";"niinikään sanotusta täysi-istunnosta";"mietintöönsä laaditun oikaisulehden.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_talonpojat_/ptk_1899_talonpojat_-0135";"11";"11.0";"note";"että Toimitusvaliokunta saisi";"toiminnasta aiheutuvat,";"difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1899/ptk_1899_talonpojat_/ptk_1899_talonpojat_-0171";"8";"3.0";"note";"In fidem:";"Vilho Luukkonen";"signature"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_adeln_I/prot_1900_adeln_I-0311";"3";"2.0";"seg";"Sen lausunnon johdosta";"pohjapalkkaa ensinkään koroteta.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1900/prot_1900_adeln_II/prot_1900_adeln_II-0251";"2";"1.0";"seg";"jag intet att";"godt att säga.";""
